2195	     57	      0	   2252	    8cc	lib.o	 | v0.01
2195	     57	      0	   2252	    8cc	libs.o	 | v0.01
2195	     57	      0	   2252	    8cc	libg.o	 | v0.01
2195	     57	      0	   2252	    8cc	lib.o	 | v0.02
2195	     57	      0	   2252	    8cc	libs.o	 | v0.02
2195	     57	      0	   2252	    8cc	libg.o	 | v0.02
2385	     57	      8	   2450	    992	lib.o	 | v0.03
2385	     57	      8	   2450	    992	libs.o	 | v0.03
2385	     57	      8	   2450	    992	libg.o	 | v0.03
2481	   4173	      8	   6662	   1a06	lib.o	 | v0.04
2481	   4173	      8	   6662	   1a06	libs.o	 | v0.04
2481	   4173	      8	   6662	   1a06	libg.o	 | v0.04
